case_id,title,description,status,created_at
CASE0029,Synthetic Investigation 0029,Money laundering indicators observed through layered transactions across multiple accounts.,OPEN,2025-04-04 05:07:44+00
CASE0030,Synthetic Investigation 0030,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.,OPEN,2022-11-06 07:50:19+00
CASE0031,Synthetic Investigation 0031,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.,OPEN,2022-12-07 02:51:45+00
CASE0032,Synthetic Investigation 0032,,OPEN,2025-01-21 16:10:25+00
CASE0033,Synthetic Investigation 0033,Vehicle theft reported from residential parking area; CCTV footage requested.,OPEN,2023-01-18 02:12:44+00
CASE0034,Synthetic Investigation 0034,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.,OPEN,2022-10-01 12:38:31+00
CASE0035,Synthetic Investigation 0035,,OPEN,2022-06-07 04:38:41+00
CASE0036,Synthetic Investigation 0036,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.,OPEN,2023-08-12 15:15:51+00
CASE0037,Synthetic Investigation 0037,Theft of commercial goods reported from warehouse during overnight hours; suspects unknown.,OPEN,2023-06-10 15:50:34+00
CASE0038,Synthetic Investigation 0038,,OPEN,2023-04-19 21:55:21+00
CASE0039,Synthetic Investigation 0039,Assault complaint filed following dispute at commercial premises; medical report attached.,OPEN,2025-06-11 11:53:29+00
CASE0040,Synthetic Investigation 0040,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.,OPEN,2024-03-29 13:15:09+00
CASE0041,Synthetic Investigation 0041,,OPEN,2024-08-26 02:43:15+00
CASE0042,Synthetic Investigation 0042,,OPEN,2025-01-09 09:50:39+00
CASE0043,Synthetic Investigation 0043,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.,OPEN,2022-07-23 04:22:44+00
CASE0044,Synthetic Investigation 0044,,OPEN,2022-10-25 18:23:47+00
CASE0045,Synthetic Investigation 0045,Assault complaint filed following dispute at commercial premises; medical report attached.,OPEN,2023-05-09 22:05:42+00
CASE0046,Synthetic Investigation 0046,Missing person report filed after individual failed to return from scheduled business travel.,OPEN,2022-03-13 18:16:53+00
CASE0047,Synthetic Investigation 0047,,OPEN,2024-07-01 09:05:44+00
CASE0048,Synthetic Investigation 0048,Vehicle theft reported from residential parking area; CCTV footage requested.,OPEN,2023-04-02 23:55:39+00
CASE0049,Synthetic Investigation 0049,,OPEN,2023-05-25 00:49:06+00
CASE0050,Synthetic Investigation 0050,Cheating case registered involving forged property documents and misrepresentation.,OPEN,2022-07-16 10:42:56+00
CASE0051,Synthetic Investigation 0051,,OPEN,2024-06-26 08:09:48+00
CASE0052,Synthetic Investigation 0052,,OPEN,2022-11-22 00:56:31+00
CASE0053,Synthetic Investigation 0053,Narcotics-related intelligence forwarded for verification and coordinated follow-up.,OPEN,2025-05-13 18:30:49+00
CASE0054,Synthetic Investigation 0054,Theft of commercial goods reported from warehouse during overnight hours; suspects unknown.,OPEN,2022-09-18 02:22:29+00
CASE0055,Synthetic Investigation 0055,Vehicle theft reported from residential parking area; CCTV footage requested.,OPEN,2023-08-05 09:39:04+00
CASE0056,Synthetic Investigation 0056,Narcotics-related intelligence forwarded for verification and coordinated follow-up.,OPEN,2022-10-06 01:32:54+00
CASE0057,Synthetic Investigation 0057,Assault complaint filed following dispute at commercial premises; medical report attached.,OPEN,2024-03-27 07:09:10+00
CASE0058,Synthetic Investigation 0058,Narcotics-related intelligence forwarded for verification and coordinated follow-up.,OPEN,2024-01-06 22:59:03+00
CASE0059,Synthetic Investigation 0059,Extortion complaint regarding repeated threatening calls demanding payment.,OPEN,2024-09-18 06:18:03+00
CASE0060,Synthetic Investigation 0060,,OPEN,2024-06-26 04:27:00+00
CASE0061,Synthetic Investigation 0061,Missing person report filed after individual failed to return from scheduled business travel.,OPEN,2022-12-08 00:31:58+00
CASE0062,Synthetic Investigation 0062,,OPEN,2023-12-04 06:45:59+00
CASE0063,Synthetic Investigation 0063,,OPEN,2023-09-08 00:13:15+00
CASE0064,Synthetic Investigation 0064,Extortion complaint regarding repeated threatening calls demanding payment.,OPEN,2023-08-09 18:40:18+00
CASE0065,Synthetic Investigation 0065,Assault complaint filed following dispute at commercial premises; medical report attached.,OPEN,2023-01-31 09:32:16+00
CASE0066,Synthetic Investigation 0066,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.,OPEN,2025-03-13 14:31:38+00
CASE0067,Synthetic Investigation 0067,Narcotics-related intelligence forwarded for verification and coordinated follow-up.,OPEN,2024-03-16 23:02:18+00
CASE0068,Synthetic Investigation 0068,Money laundering indicators observed through layered transactions across multiple accounts.,OPEN,2022-03-05 21:55:09+00
CASE0069,Synthetic Investigation 0069,Money laundering indicators observed through layered transactions across multiple accounts.,OPEN,2023-06-07 12:55:51+00
CASE0070,Synthetic Investigation 0070,Narcotics-related intelligence forwarded for verification and coordinated follow-up.,OPEN,2023-11-03 20:58:47+00
CASE0071,Synthetic Investigation 0071,Narcotics-related intelligence forwarded for verification and coordinated follow-up.,OPEN,2023-05-08 11:22:41+00
CASE0072,Synthetic Investigation 0072,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.,OPEN,2022-10-06 22:41:44+00
CASE0073,Synthetic Investigation 0073,Cheating case registered involving forged property documents and misrepresentation.,OPEN,2024-09-29 12:34:22+00
CASE0074,Synthetic Investigation 0074,Theft of commercial goods reported from warehouse during overnight hours; suspects unknown.,OPEN,2023-04-03 12:25:12+00
CASE0075,Synthetic Investigation 0075,,OPEN,2024-03-07 14:14:01+00
CASE0076,Synthetic Investigation 0076,Theft of commercial goods reported from warehouse during overnight hours; suspects unknown.,OPEN,2025-05-05 19:28:48+00
CASE0077,Synthetic Investigation 0077,Missing person report filed after individual failed to return from scheduled business travel.,OPEN,2022-06-02 20:57:27+00
CASE0078,Synthetic Investigation 0078,Assault complaint filed following dispute at commercial premises; medical report attached.,OPEN,2022-03-01 11:14:00+00
CASE0079,Synthetic Investigation 0079,Assault complaint filed following dispute at commercial premises; medical report attached.,OPEN,2022-11-02 11:30:22+00
CASE0080,Synthetic Investigation 0080,Cheating case registered involving forged property documents and misrepresentation.,OPEN,2023-04-16 06:03:17+00
CASE0081,Synthetic Investigation 0081,Cheating case registered involving forged property documents and misrepresentation.,OPEN,2022-10-24 03:39:54+00
CASE0082,Synthetic Investigation 0082,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.,OPEN,2025-08-21 04:40:51+00
CASE0083,Synthetic Investigation 0083,,OPEN,2025-02-23 06:31:34+00
CASE0084,Synthetic Investigation 0084,Cheating case registered involving forged property documents and misrepresentation.,OPEN,2022-01-14 06:09:57+00
CASE0085,Synthetic Investigation 0085,,OPEN,2023-03-14 19:57:11+00
CASE0086,Synthetic Investigation 0086,,OPEN,2025-05-01 13:08:14+00
CASE0087,Synthetic Investigation 0087,,OPEN,2023-09-23 07:46:21+00
CASE0088,Synthetic Investigation 0088,,OPEN,2025-03-23 05:03:29+00
CASE0089,Synthetic Investigation 0089,Narcotics-related intelligence forwarded for verification and coordinated follow-up.,OPEN,2024-10-13 02:16:52+00
CASE0090,Synthetic Investigation 0090,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.,OPEN,2023-09-10 12:04:16+00
CASE0091,Synthetic Investigation 0091,Missing person report filed after individual failed to return from scheduled business travel.,OPEN,2024-01-08 00:20:24+00
CASE0092,Synthetic Investigation 0092,Money laundering indicators observed through layered transactions across multiple accounts.,OPEN,2025-05-05 23:15:31+00
CASE0093,Synthetic Investigation 0093,Narcotics-related intelligence forwarded for verification and coordinated follow-up.,OPEN,2025-01-27 09:08:17+00
CASE0094,Synthetic Investigation 0094,,OPEN,2023-06-14 04:42:33+00
CASE0095,Synthetic Investigation 0095,,OPEN,2023-05-02 08:16:32+00
CASE0096,Synthetic Investigation 0096,,OPEN,2023-10-29 02:33:38+00
CASE0097,Synthetic Investigation 0097,,OPEN,2024-12-20 05:08:11+00
CASE0098,Synthetic Investigation 0098,Narcotics-related intelligence forwarded for verification and coordinated follow-up.,OPEN,2023-12-01 00:10:10+00
CASE0099,Synthetic Investigation 0099,,OPEN,2022-02-16 18:21:40+00
CASE0100,Synthetic Investigation 0100,Money laundering indicators observed through layered transactions across multiple accounts.,OPEN,2022-07-19 09:04:20+00
CASE0101,Synthetic Investigation 0101,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.,OPEN,2024-02-16 09:54:08+00
CASE0102,Synthetic Investigation 0102,,OPEN,2025-07-20 00:55:00+00
CASE0103,Synthetic Investigation 0103,Missing person report filed after individual failed to return from scheduled business travel.,OPEN,2023-10-14 02:56:40+00
CASE0104,Synthetic Investigation 0104,Extortion complaint regarding repeated threatening calls demanding payment.,OPEN,2025-03-31 00:47:43+00
CASE0105,Synthetic Investigation 0105,,OPEN,2024-04-15 03:19:48+00
CASE0106,Synthetic Investigation 0106,Money laundering indicators observed through layered transactions across multiple accounts.,OPEN,2022-02-06 02:26:38+00
CASE0107,Synthetic Investigation 0107,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.,OPEN,2022-08-05 03:19:08+00
CASE0108,Synthetic Investigation 0108,Assault complaint filed following dispute at commercial premises; medical report attached.,OPEN,2024-06-01 15:41:29+00
CASE0109,Synthetic Investigation 0109,Money laundering indicators observed through layered transactions across multiple accounts.,OPEN,2024-08-02 05:48:57+00
CASE0110,Synthetic Investigation 0110,Extortion complaint regarding repeated threatening calls demanding payment.,OPEN,2023-08-16 08:35:11+00
CASE0111,Synthetic Investigation 0111,Extortion complaint regarding repeated threatening calls demanding payment.,OPEN,2022-04-09 23:15:10+00
CASE0112,Synthetic Investigation 0112,Missing person report filed after individual failed to return from scheduled business travel.,OPEN,2024-01-08 12:59:38+00
CASE0113,Synthetic Investigation 0113,Money laundering indicators observed through layered transactions across multiple accounts.,OPEN,2023-12-03 10:27:25+00
CASE0114,Synthetic Investigation 0114,Cheating case registered involving forged property documents and misrepresentation.,OPEN,2022-05-25 20:17:43+00
CASE0115,Synthetic Investigation 0115,Vehicle theft reported from residential parking area; CCTV footage requested.,OPEN,2022-10-03 22:45:13+00
CASE0116,Synthetic Investigation 0116,Money laundering indicators observed through layered transactions across multiple accounts.,OPEN,2024-01-30 00:49:30+00
CASE0117,Synthetic Investigation 0117,Missing person report filed after individual failed to return from scheduled business travel.,OPEN,2022-04-18 22:48:48+00
CASE0118,Synthetic Investigation 0118,,OPEN,2023-08-23 11:10:31+00
CASE0119,Synthetic Investigation 0119,Missing person report filed after individual failed to return from scheduled business travel.,OPEN,2023-03-29 05:12:02+00
CASE0120,Synthetic Investigation 0120,Theft of commercial goods reported from warehouse during overnight hours; suspects unknown.,OPEN,2023-12-08 07:05:27+00
CASE0121,Synthetic Investigation 0121,Vehicle theft reported from residential parking area; CCTV footage requested.,OPEN,2022-09-24 22:07:37+00
CASE0122,Synthetic Investigation 0122,Extortion complaint regarding repeated threatening calls demanding payment.,PENDING,2022-09-01 22:42:21+00
CASE0123,Synthetic Investigation 0123,,CLOSED,2024-04-13 08:25:05+00
CASE0124,Synthetic Investigation 0124,Theft of commercial goods reported from warehouse during overnight hours; suspects unknown.,PENDING,2022-11-17 18:07:15+00
CASE0125,Synthetic Investigation 0125,Missing person report filed after individual failed to return from scheduled business travel.,UNDER_REVIEW,2023-11-03 09:36:32+00
CASE0126,Synthetic Investigation 0126,,PENDING,2022-09-04 15:47:38+00
CASE0127,Synthetic Investigation 0127,Cheating case registered involving forged property documents and misrepresentation.,CLOSED,2024-02-20 13:37:35+00
CASE0128,Synthetic Investigation 0128,Narcotics-related intelligence forwarded for verification and coordinated follow-up.,UNDER_REVIEW,2022-11-10 08:01:22+00
CASE0129,Synthetic Investigation 0129,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.,PENDING,2022-04-10 08:58:33+00
CASE0130,Synthetic Investigation 0130,,CLOSED,2024-03-27 21:21:05+00
CASE0131,Synthetic Investigation 0131,Money laundering indicators observed through layered transactions across multiple accounts.,PENDING,2023-12-16 21:40:10+00
CASE0132,Synthetic Investigation 0132,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.,OPEN,2023-03-24 06:07:45+00
CASE0133,Synthetic Investigation 0133,Narcotics-related intelligence forwarded for verification and coordinated follow-up.,UNDER_REVIEW,2024-12-23 21:41:34+00
CASE0134,Synthetic Investigation 0134,,UNDER_REVIEW,2023-08-31 12:54:20+00
CASE0135,Synthetic Investigation 0135,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.,PENDING,2023-01-23 00:25:09+00
CASE0136,Synthetic Investigation 0136,Money laundering indicators observed through layered transactions across multiple accounts.,PENDING,2023-12-13 05:04:14+00
CASE0137,Synthetic Investigation 0137,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.,OPEN,2023-09-04 08:39:23+00
CASE0138,Synthetic Investigation 0138,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.,CLOSED,2022-09-03 08:08:24+00
CASE0139,Synthetic Investigation 0139,Vehicle theft reported from residential parking area; CCTV footage requested.,UNDER_REVIEW,2024-11-01 14:46:19+00
CASE0140,Synthetic Investigation 0140,,CLOSED,2024-02-06 14:33:01+00
CASE0141,Synthetic Investigation 0141,Vehicle theft reported from residential parking area; CCTV footage requested.,OPEN,2023-07-27 19:19:40+00
CASE0142,Synthetic Investigation 0142,Theft of commercial goods reported from warehouse during overnight hours; suspects unknown.,UNDER_REVIEW,2023-09-30 01:29:22+00
CASE0143,Synthetic Investigation 0143,Cheating case registered involving forged property documents and misrepresentation.,CLOSED,2024-02-26 03:27:17+00
CASE0144,Synthetic Investigation 0144,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.,OPEN,2024-09-19 10:40:26+00
CASE0145,Synthetic Investigation 0145,Narcotics-related intelligence forwarded for verification and coordinated follow-up.,PENDING,2023-06-18 20:29:17+00
CASE0146,Synthetic Investigation 0146,Missing person report filed after individual failed to return from scheduled business travel.,PENDING,2022-02-28 16:20:29+00
CASE0147,Synthetic Investigation 0147,Theft of commercial goods reported from warehouse during overnight hours; suspects unknown.,CLOSED,2023-05-24 03:33:29+00
CASE0148,Synthetic Investigation 0148,Narcotics-related intelligence forwarded for verification and coordinated follow-up.,PENDING,2023-12-18 16:38:08+00
CASE0149,Synthetic Investigation 0149,Vehicle theft reported from residential parking area; CCTV footage requested.,CLOSED,2025-01-13 12:14:52+00
CASE0150,Synthetic Investigation 0150,,CLOSED,2024-01-02 08:14:19+00
CASE0151,Synthetic Investigation 0151,,CLOSED,2022-09-23 00:01:20+00
CASE0152,Synthetic Investigation 0152,,OPEN,2022-10-03 07:51:34+00
CASE0153,Synthetic Investigation 0153,Vehicle theft reported from residential parking area; CCTV footage requested.,PENDING,2022-09-19 16:23:49+00
CASE0154,Synthetic Investigation 0154,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.,UNDER_REVIEW,2022-08-27 10:45:48+00
CASE0155,Synthetic Investigation 0155,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.,CLOSED,2025-01-14 19:13:12+00
CASE0156,Synthetic Investigation 0156,Vehicle theft reported from residential parking area; CCTV footage requested.,CLOSED,2023-11-18 17:07:19+00
CASE0157,Synthetic Investigation 0157,Vehicle theft reported from residential parking area; CCTV footage requested.,OPEN,2023-08-30 19:18:32+00
CASE0158,Synthetic Investigation 0158,Narcotics-related intelligence forwarded for verification and coordinated follow-up.,OPEN,2024-07-18 06:42:43+00
CASE0159,Synthetic Investigation 0159,Extortion complaint regarding repeated threatening calls demanding payment.,CLOSED,2023-01-23 21:28:57+00
CASE0160,Synthetic Investigation 0160,Missing person report filed after individual failed to return from scheduled business travel.,CLOSED,2022-05-22 23:07:59+00
CASE0161,Synthetic Investigation 0161,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.,OPEN,2023-06-08 16:37:09+00
CASE0162,Synthetic Investigation 0162,,OPEN,2022-12-09 15:21:55+00
CASE0163,Synthetic Investigation 0163,,OPEN,2025-05-22 23:29:10+00
CASE0164,Synthetic Investigation 0164,,CLOSED,2025-01-29 17:06:18+00
CASE0165,Synthetic Investigation 0165,Extortion complaint regarding repeated threatening calls demanding payment.,OPEN,2025-06-21 00:40:45+00
CASE0166,Synthetic Investigation 0166,Vehicle theft reported from residential parking area; CCTV footage requested.,CLOSED,2024-08-28 09:30:38+00
CASE0167,Synthetic Investigation 0167,Vehicle theft reported from residential parking area; CCTV footage requested.,PENDING,2023-10-27 16:32:01+00
CASE0168,Synthetic Investigation 0168,Missing person report filed after individual failed to return from scheduled business travel.,OPEN,2023-07-08 22:07:44+00
CASE0169,Synthetic Investigation 0169,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.,PENDING,2024-10-12 22:37:02+00
CASE0170,Synthetic Investigation 0170,Extortion complaint regarding repeated threatening calls demanding payment.,CLOSED,2023-12-14 16:24:23+00
CASE0171,Synthetic Investigation 0171,Cheating case registered involving forged property documents and misrepresentation.,UNDER_REVIEW,2022-03-10 06:09:45+00
CASE0172,Synthetic Investigation 0172,Missing person report filed after individual failed to return from scheduled business travel.,PENDING,2023-04-14 10:00:41+00
CASE0173,Synthetic Investigation 0173,,PENDING,2022-06-08 03:53:08+00
CASE0174,Synthetic Investigation 0174,Money laundering indicators observed through layered transactions across multiple accounts.,CLOSED,2023-01-27 09:00:34+00
CASE0175,Synthetic Investigation 0175,,UNDER_REVIEW,2024-09-07 00:41:04+00
CASE0176,Synthetic Investigation 0176,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.,UNDER_REVIEW,2022-09-30 08:48:54+00
CASE0177,Synthetic Investigation 0177,Assault complaint filed following dispute at commercial premises; medical report attached.,PENDING,2022-04-15 21:05:06+00
CASE0178,Synthetic Investigation 0178,Money laundering indicators observed through layered transactions across multiple accounts.,PENDING,2023-08-17 23:50:20+00
CASE0179,Synthetic Investigation 0179,Missing person report filed after individual failed to return from scheduled business travel.,OPEN,2022-12-28 08:10:36+00
CASE0180,Synthetic Investigation 0180,Theft of commercial goods reported from warehouse during overnight hours; suspects unknown.,UNDER_REVIEW,2023-01-03 05:29:37+00
CASE0181,Synthetic Investigation 0181,Missing person report filed after individual failed to return from scheduled business travel.,OPEN,2022-04-04 02:05:31+00
CASE0182,Synthetic Investigation 0182,Narcotics-related intelligence forwarded for verification and coordinated follow-up.,UNDER_REVIEW,2022-11-10 19:32:43+00
CASE0183,Synthetic Investigation 0183,Missing person report filed after individual failed to return from scheduled business travel.,OPEN,2023-01-05 19:40:04+00
CASE0184,Synthetic Investigation 0184,,PENDING,2025-02-22 09:26:51+00
CASE0185,Synthetic Investigation 0185,,CLOSED,2023-03-09 01:18:19+00
CASE0186,Synthetic Investigation 0186,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.,PENDING,2024-10-03 16:55:18+00
CASE0187,Synthetic Investigation 0187,,OPEN,2022-12-22 18:06:44+00
CASE0188,Synthetic Investigation 0188,,UNDER_REVIEW,2023-06-17 09:50:29+00
CASE0189,Synthetic Investigation 0189,Vehicle theft reported from residential parking area; CCTV footage requested.,OPEN,2024-10-30 01:13:16+00
CASE0190,Synthetic Investigation 0190,,CLOSED,2024-08-02 14:14:20+00
CASE0191,Synthetic Investigation 0191,,UNDER_REVIEW,2022-10-13 03:04:16+00
CASE0192,Synthetic Investigation 0192,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.,OPEN,2024-02-03 17:45:11+00
CASE0193,Synthetic Investigation 0193,Missing person report filed after individual failed to return from scheduled business travel.,OPEN,2024-09-12 10:54:51+00
CASE0194,Synthetic Investigation 0194,,CLOSED,2022-07-15 01:15:12+00
CASE0195,Synthetic Investigation 0195,Money laundering indicators observed through layered transactions across multiple accounts.,CLOSED,2023-01-03 02:16:48+00
CASE0196,Synthetic Investigation 0196,Extortion complaint regarding repeated threatening calls demanding payment.,PENDING,2023-04-29 20:10:52+00
CASE0197,Synthetic Investigation 0197,Missing person report filed after individual failed to return from scheduled business travel.,CLOSED,2023-10-21 16:29:28+00
CASE0198,Synthetic Investigation 0198,Missing person report filed after individual failed to return from scheduled business travel.,UNDER_REVIEW,2023-03-20 06:43:36+00
CASE0199,Synthetic Investigation 0199,Missing person report filed after individual failed to return from scheduled business travel.,UNDER_REVIEW,2025-04-28 16:33:44+00
CASE0200,Synthetic Investigation 0200,Assault complaint filed following dispute at commercial premises; medical report attached.,PENDING,2023-08-10 18:19:43+00
CASE0201,Synthetic Investigation 0201,Narcotics-related intelligence forwarded for verification and coordinated follow-up.,PENDING,2024-02-24 22:40:18+00
CASE0202,Synthetic Investigation 0202,Extortion complaint regarding repeated threatening calls demanding payment.,CLOSED,2025-06-27 05:02:40+00
CASE0203,Synthetic Investigation 0203,,PENDING,2022-01-31 18:36:37+00
CASE0204,Synthetic Investigation 0204,,PENDING,2025-08-19 17:00:05+00
CASE0205,Synthetic Investigation 0205,Cheating case registered involving forged property documents and misrepresentation.,CLOSED,2024-05-08 19:49:17+00
CASE0206,Synthetic Investigation 0206,Cheating case registered involving forged property documents and misrepresentation.,PENDING,2023-12-22 06:10:15+00
CASE0207,Synthetic Investigation 0207,Cheating case registered involving forged property documents and misrepresentation.,PENDING,2024-05-23 06:10:35+00
CASE0208,Synthetic Investigation 0208,Theft of commercial goods reported from warehouse during overnight hours; suspects unknown.,UNDER_REVIEW,2022-08-01 06:55:04+00
CASE0209,Synthetic Investigation 0209,Missing person report filed after individual failed to return from scheduled business travel.,CLOSED,2022-10-22 13:45:46+00
CASE0210,Synthetic Investigation 0210,Vehicle theft reported from residential parking area; CCTV footage requested.,UNDER_REVIEW,2024-02-03 10:43:21+00
CASE0211,Synthetic Investigation 0211,Extortion complaint regarding repeated threatening calls demanding payment.,PENDING,2025-02-26 22:59:50+00
CASE0212,Synthetic Investigation 0212,Narcotics-related intelligence forwarded for verification and coordinated follow-up.,UNDER_REVIEW,2024-09-22 20:01:42+00
CASE0213,Synthetic Investigation 0213,,OPEN,2023-09-28 00:42:20+00
CASE0214,Synthetic Investigation 0214,,OPEN,2023-08-21 19:21:12+00
CASE0215,Synthetic Investigation 0215,,CLOSED,2022-10-29 17:21:07+00
CASE0216,Synthetic Investigation 0216,,UNDER_REVIEW,2025-04-13 03:02:37+00
CASE0217,Synthetic Investigation 0217,,UNDER_REVIEW,2024-03-02 15:34:36+00
CASE0218,Synthetic Investigation 0218,Assault complaint filed following dispute at commercial premises; medical report attached.,OPEN,2024-10-08 03:32:49+00
CASE0219,Synthetic Investigation 0219,Extortion complaint regarding repeated threatening calls demanding payment.,CLOSED,2023-01-12 11:34:11+00
CASE0220,Synthetic Investigation 0220,Assault complaint filed following dispute at commercial premises; medical report attached.,OPEN,2024-12-19 11:37:09+00
CASE0221,Synthetic Investigation 0221,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.,UNDER_REVIEW,2024-07-29 12:16:35+00
CASE0222,Synthetic Investigation 0222,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.,UNDER_REVIEW,2023-01-20 08:17:32+00
CASE0223,Synthetic Investigation 0223,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.,OPEN,2022-07-01 08:02:01+00
CASE0224,Synthetic Investigation 0224,,PENDING,2023-09-10 18:05:50+00
CASE0225,Synthetic Investigation 0225,Theft of commercial goods reported from warehouse during overnight hours; suspects unknown.,CLOSED,2023-10-20 00:31:38+00
CASE0226,Synthetic Investigation 0226,Extortion complaint regarding repeated threatening calls demanding payment.,UNDER_REVIEW,2024-12-10 17:32:43+00
CASE0227,Synthetic Investigation 0227,Vehicle theft reported from residential parking area; CCTV footage requested.,PENDING,2024-06-29 10:38:15+00
CASE0228,Synthetic Investigation 0228,Extortion complaint regarding repeated threatening calls demanding payment.,OPEN,2022-06-19 18:01:57+00
CASE0229,Synthetic Investigation 0229,Assault complaint filed following dispute at commercial premises; medical report attached.,CLOSED,2023-02-22 21:50:32+00
CASE0230,Synthetic Investigation 0230,Extortion complaint regarding repeated threatening calls demanding payment.,UNDER_REVIEW,2022-01-10 23:21:58+00
