fir_id,case_id,date,police_station,complaint_text
FIR00021,CASE0021,2023-09-28,Koregaon Park Police Station,Initial synthetic FIR for planted crime network CASE0021. Assault complaint filed following dispute at commercial premises; medical report attached. Subject also referred to as Neha Josi. Phone noted in station diary as 6924744117. Subject also referred to as Arjun Mneon. Phone noted in station diary as 6093781430. Subject also referred to as Neha Gpta. Phone noted in station diary as 6042797393. Subject also referred to as Reyansh Naaik. Phone noted in station diary as 7083168063.
FIR00022,CASE0022,2025-03-15,Sector 17 Police Station,Initial synthetic FIR for planted crime network CASE0022. Narcotics-related intelligence forwarded for verification and coordinated follow-up.
FIR00023,CASE0023,2025-08-30,Whitefield Police Station,Initial synthetic FIR for planted crime network CASE0023. Money laundering indicators observed through layered transactions across multiple accounts.
FIR00024,CASE0024,2024-05-03,Secunderabad Police Station,Initial synthetic FIR for planted crime network CASE0024. Extortion complaint regarding repeated threatening calls demanding payment.
FIR00025,CASE0025,2023-08-28,Park Street Police Station,Initial synthetic FIR for planted crime network CASE0025. Narcotics-related intelligence forwarded for verification and coordinated follow-up.
FIR00026,CASE0210,2025-01-18,T Nagar Police Station,Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00027,CASE0191,2023-02-18,Andheri Police Station,Missing person report filed after individual failed to return from scheduled business travel.
FIR00028,CASE0091,2022-08-12,Sector 17 Police Station,Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00029,CASE0177,2025-12-01,Andheri Police Station,Money laundering indicators observed through layered transactions across multiple accounts.
FIR00030,CASE0157,2022-03-17,Gomti Nagar Police Station,Narcotics-related intelligence forwarded for verification and coordinated follow-up.
FIR00031,CASE0218,2024-09-17,T Nagar Police Station,Cheating case registered involving forged property documents and misrepresentation.
FIR00032,CASE0204,2022-11-20,Colaba Police Station,Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00033,CASE0039,2022-11-25,Malviya Nagar Police Station,Narcotics-related intelligence forwarded for verification and coordinated follow-up.
FIR00034,CASE0194,2024-06-24,Sector 17 Police Station,Assault complaint filed following dispute at commercial premises; medical report attached.
FIR00035,CASE0073,2022-05-12,Whitefield Police Station,Narcotics-related intelligence forwarded for verification and coordinated follow-up.
FIR00036,CASE0170,2025-03-02,Secunderabad Police Station,Assault complaint filed following dispute at commercial premises; medical report attached.
FIR00037,CASE0225,2024-09-15,Whitefield Police Station,Missing person report filed after individual failed to return from scheduled business travel.
FIR00038,CASE0029,2022-03-15,Satellite Police Station,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.
FIR00039,CASE0148,2024-12-01,T Nagar Police Station,Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00040,CASE0183,2024-10-11,Gomti Nagar Police Station,Extortion complaint regarding repeated threatening calls demanding payment.
FIR00041,CASE0192,2023-11-21,Satellite Police Station,Cheating case registered involving forged property documents and misrepresentation.
FIR00042,CASE0156,2025-06-26,Park Street Police Station,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.
FIR00043,CASE0121,2022-01-30,Gomti Nagar Police Station,Missing person report filed after individual failed to return from scheduled business travel.
FIR00044,CASE0197,2025-03-11,Malviya Nagar Police Station,Narcotics-related intelligence forwarded for verification and coordinated follow-up.
FIR00045,CASE0070,2023-03-01,Koregaon Park Police Station,Missing person report filed after individual failed to return from scheduled business travel.
FIR00046,CASE0114,2024-12-03,Hazratganj Police Station,Assault complaint filed following dispute at commercial premises; medical report attached.
FIR00047,CASE0046,2025-09-25,Satellite Police Station,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.
FIR00048,CASE0231,2022-03-22,MG Road Police Station,Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00049,CASE0154,2023-05-25,Hazratganj Police Station,Extortion complaint regarding repeated threatening calls demanding payment.
FIR00050,CASE0087,2022-02-21,Whitefield Police Station,Money laundering indicators observed through layered transactions across multiple accounts.
FIR00051,CASE0175,2023-08-19,MG Road Police Station,Theft of commercial goods reported from warehouse during overnight hours; suspects unknown.
FIR00052,CASE0132,2022-05-10,Hazratganj Police Station,Assault complaint filed following dispute at commercial premises; medical report attached.
FIR00053,CASE0203,2022-11-03,Secunderabad Police Station,Extortion complaint regarding repeated threatening calls demanding payment.
FIR00054,CASE0126,2022-08-30,Andheri Police Station,Narcotics-related intelligence forwarded for verification and coordinated follow-up.
FIR00055,CASE0134,2023-12-21,MG Road Police Station,Money laundering indicators observed through layered transactions across multiple accounts.
FIR00056,CASE0159,2024-10-03,Hazratganj Police Station,Theft of commercial goods reported from warehouse during overnight hours; suspects unknown.
FIR00057,CASE0130,2023-01-13,T Nagar Police Station,Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00058,CASE0078,2023-08-06,Malviya Nagar Police Station,Extortion complaint regarding repeated threatening calls demanding payment.
FIR00059,CASE0101,2024-11-08,Koramangala Police Station,Money laundering indicators observed through layered transactions across multiple accounts.
FIR00060,CASE0228,2024-04-29,Sector 17 Police Station,Money laundering indicators observed through layered transactions across multiple accounts.
FIR00061,CASE0186,2022-04-21,T Nagar Police Station,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.
FIR00062,CASE0236,2025-09-12,Hazratganj Police Station,Theft of commercial goods reported from warehouse during overnight hours; suspects unknown.
FIR00063,CASE0133,2025-03-27,Colaba Police Station,Money laundering indicators observed through layered transactions across multiple accounts.
FIR00064,CASE0071,2024-12-18,Malviya Nagar Police Station,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.
FIR00065,CASE0113,2025-02-22,Bandra Police Station,Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00066,CASE0217,2024-04-13,Koramangala Police Station,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.
FIR00067,CASE0193,2022-02-16,Park Street Police Station,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.
FIR00068,CASE0214,2023-01-10,Hazratganj Police Station,Assault complaint filed following dispute at commercial premises; medical report attached.
FIR00069,CASE0124,2025-12-06,MG Road Police Station,Theft of commercial goods reported from warehouse during overnight hours; suspects unknown.
FIR00070,CASE0042,2024-01-04,T Nagar Police Station,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.
FIR00071,CASE0153,2025-02-09,Koramangala Police Station,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.
FIR00072,CASE0112,2023-08-31,Hazratganj Police Station,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.
FIR00073,CASE0207,2023-03-03,Koramangala Police Station,Cheating case registered involving forged property documents and misrepresentation.
FIR00074,CASE0059,2025-06-20,Park Street Police Station,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.
FIR00075,CASE0140,2023-06-18,Secunderabad Police Station,Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00076,CASE0174,2025-03-27,Satellite Police Station,Cheating case registered involving forged property documents and misrepresentation.
FIR00077,CASE0033,2025-04-18,Colaba Police Station,Extortion complaint regarding repeated threatening calls demanding payment.
FIR00078,CASE0125,2025-02-14,Park Street Police Station,Narcotics-related intelligence forwarded for verification and coordinated follow-up.
FIR00079,CASE0053,2024-11-18,Colaba Police Station,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.
FIR00080,CASE0052,2022-03-11,Koramangala Police Station,Extortion complaint regarding repeated threatening calls demanding payment.
FIR00081,CASE0027,2023-07-13,Andheri Police Station,Extortion complaint regarding repeated threatening calls demanding payment.
FIR00082,CASE0096,2023-06-21,Bandra Police Station,Narcotics-related intelligence forwarded for verification and coordinated follow-up.
FIR00083,CASE0128,2025-07-02,Satellite Police Station,Missing person report filed after individual failed to return from scheduled business travel.
FIR00084,CASE0155,2024-09-24,Andheri Police Station,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.
FIR00085,CASE0216,2025-09-03,Bandra Police Station,Assault complaint filed following dispute at commercial premises; medical report attached.
FIR00086,CASE0173,2024-10-14,Park Street Police Station,Narcotics-related intelligence forwarded for verification and coordinated follow-up.
FIR00087,CASE0142,2024-05-04,Hazratganj Police Station,Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00088,CASE0226,2023-01-26,Satellite Police Station,Narcotics-related intelligence forwarded for verification and coordinated follow-up.
FIR00089,CASE0066,2025-10-14,Gomti Nagar Police Station,Cheating case registered involving forged property documents and misrepresentation.
FIR00090,CASE0031,2025-12-21,Koregaon Park Police Station,Missing person report filed after individual failed to return from scheduled business travel.
FIR00091,CASE0032,2023-03-11,Andheri Police Station,Theft of commercial goods reported from warehouse during overnight hours; suspects unknown.
FIR00092,CASE0167,2023-01-12,Bandra Police Station,Narcotics-related intelligence forwarded for verification and coordinated follow-up.
FIR00093,CASE0026,2024-12-29,Gomti Nagar Police Station,Money laundering indicators observed through layered transactions across multiple accounts.
FIR00094,CASE0187,2025-11-10,Park Street Police Station,Money laundering indicators observed through layered transactions across multiple accounts.
FIR00095,CASE0090,2025-02-28,Koregaon Park Police Station,Extortion complaint regarding repeated threatening calls demanding payment.
FIR00096,CASE0057,2023-09-17,MG Road Police Station,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.
FIR00097,CASE0208,2022-01-26,Whitefield Police Station,Narcotics-related intelligence forwarded for verification and coordinated follow-up.
FIR00098,CASE0089,2024-07-05,Hazratganj Police Station,Extortion complaint regarding repeated threatening calls demanding payment.
FIR00099,CASE0144,2025-09-16,T Nagar Police Station,Narcotics-related intelligence forwarded for verification and coordinated follow-up.
FIR00100,CASE0055,2024-03-14,Hazratganj Police Station,Cheating case registered involving forged property documents and misrepresentation.
FIR00101,CASE0086,2023-01-25,Park Street Police Station,Extortion complaint regarding repeated threatening calls demanding payment.
FIR00102,CASE0205,2022-07-25,Koramangala Police Station,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.
FIR00103,CASE0230,2022-10-26,Andheri Police Station,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.
FIR00104,CASE0085,2025-12-27,Satellite Police Station,Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00105,CASE0058,2025-10-17,Koregaon Park Police Station,Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00106,CASE0092,2023-10-25,Park Street Police Station,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.
FIR00107,CASE0111,2022-03-31,Colaba Police Station,Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00108,CASE0233,2024-11-13,Colaba Police Station,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.
FIR00109,CASE0206,2023-01-15,Bandra Police Station,Missing person report filed after individual failed to return from scheduled business travel.
FIR00110,CASE0035,2023-11-13,Hazratganj Police Station,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.
FIR00111,CASE0141,2024-03-06,Hazratganj Police Station,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.
FIR00112,CASE0202,2023-12-18,Hazratganj Police Station,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.
FIR00113,CASE0182,2022-11-07,Whitefield Police Station,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.
FIR00114,CASE0162,2025-12-19,Andheri Police Station,Cheating case registered involving forged property documents and misrepresentation.
FIR00115,CASE0229,2025-11-05,Park Street Police Station,Narcotics-related intelligence forwarded for verification and coordinated follow-up.
FIR00116,CASE0050,2024-12-26,Koramangala Police Station,Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00117,CASE0213,2023-06-27,Koramangala Police Station,Cheating case registered involving forged property documents and misrepresentation.
FIR00118,CASE0081,2024-07-08,T Nagar Police Station,Assault complaint filed following dispute at commercial premises; medical report attached.
FIR00119,CASE0181,2023-09-11,Malviya Nagar Police Station,Assault complaint filed following dispute at commercial premises; medical report attached.
FIR00120,CASE0129,2024-04-23,MG Road Police Station,Missing person report filed after individual failed to return from scheduled business travel.
FIR00121,CASE0082,2022-09-01,Hazratganj Police Station,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.
FIR00122,CASE0103,2023-10-02,T Nagar Police Station,Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00123,CASE0098,2023-07-25,T Nagar Police Station,Narcotics-related intelligence forwarded for verification and coordinated follow-up.
FIR00124,CASE0069,2023-09-13,Andheri Police Station,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.
FIR00125,CASE0054,2022-02-13,Koramangala Police Station,Money laundering indicators observed through layered transactions across multiple accounts.
FIR00126,CASE0120,2025-10-03,Sector 17 Police Station,Cheating case registered involving forged property documents and misrepresentation.
FIR00127,CASE0189,2022-02-15,Malviya Nagar Police Station,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.
FIR00128,CASE0188,2024-09-23,Koramangala Police Station,Extortion complaint regarding repeated threatening calls demanding payment.
FIR00129,CASE0158,2023-02-21,Satellite Police Station,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.
FIR00130,CASE0179,2023-02-19,Andheri Police Station,Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00131,CASE0060,2022-12-23,Malviya Nagar Police Station,Theft of commercial goods reported from warehouse during overnight hours; suspects unknown.
FIR00132,CASE0064,2022-10-21,Park Street Police Station,Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00133,CASE0043,2024-05-06,Hazratganj Police Station,Narcotics-related intelligence forwarded for verification and coordinated follow-up.
FIR00134,CASE0136,2025-07-04,Secunderabad Police Station,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.
FIR00135,CASE0161,2024-02-08,Hazratganj Police Station,Narcotics-related intelligence forwarded for verification and coordinated follow-up.
FIR00136,CASE0093,2023-05-26,T Nagar Police Station,Extortion complaint regarding repeated threatening calls demanding payment.
FIR00137,CASE0211,2024-04-15,Koregaon Park Police Station,Assault complaint filed following dispute at commercial premises; medical report attached.
FIR00138,CASE0180,2023-09-30,Satellite Police Station,Cheating case registered involving forged property documents and misrepresentation.
FIR00139,CASE0178,2024-04-27,Bandra Police Station,Theft of commercial goods reported from warehouse during overnight hours; suspects unknown.
FIR00140,CASE0100,2025-12-17,Whitefield Police Station,Assault complaint filed following dispute at commercial premises; medical report attached.
FIR00141,CASE0061,2023-08-09,Koregaon Park Police Station,Extortion complaint regarding repeated threatening calls demanding payment.
FIR00142,CASE0084,2023-12-01,Sector 17 Police Station,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.
FIR00143,CASE0097,2024-09-24,Whitefield Police Station,Assault complaint filed following dispute at commercial premises; medical report attached.
FIR00144,CASE0099,2023-06-28,Secunderabad Police Station,Assault complaint filed following dispute at commercial premises; medical report attached.
FIR00145,CASE0063,2025-02-17,Colaba Police Station,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.
FIR00146,CASE0163,2023-11-10,Whitefield Police Station,Extortion complaint regarding repeated threatening calls demanding payment.
FIR00147,CASE0045,2024-12-07,Sector 17 Police Station,Extortion complaint regarding repeated threatening calls demanding payment.
FIR00148,CASE0240,2024-06-20,Malviya Nagar Police Station,Assault complaint filed following dispute at commercial premises; medical report attached.
FIR00149,CASE0036,2022-05-27,MG Road Police Station,Narcotics-related intelligence forwarded for verification and coordinated follow-up.
FIR00150,CASE0237,2025-12-29,T Nagar Police Station,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.
FIR00151,CASE0107,2025-12-13,Secunderabad Police Station,Missing person report filed after individual failed to return from scheduled business travel.
FIR00152,CASE0221,2025-07-29,Park Street Police Station,Assault complaint filed following dispute at commercial premises; medical report attached.
FIR00153,CASE0195,2022-06-12,Gomti Nagar Police Station,Assault complaint filed following dispute at commercial premises; medical report attached.
FIR00154,CASE0105,2023-09-25,Malviya Nagar Police Station,Narcotics-related intelligence forwarded for verification and coordinated follow-up.
FIR00155,CASE0047,2024-04-30,Sector 17 Police Station,Cheating case registered involving forged property documents and misrepresentation.
FIR00156,CASE0190,2024-11-21,Malviya Nagar Police Station,Missing person report filed after individual failed to return from scheduled business travel.
FIR00157,CASE0131,2023-07-09,T Nagar Police Station,Missing person report filed after individual failed to return from scheduled business travel.
FIR00158,CASE0146,2022-05-09,MG Road Police Station,Narcotics-related intelligence forwarded for verification and coordinated follow-up.
FIR00159,CASE0223,2025-08-13,Andheri Police Station,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.
FIR00160,CASE0076,2023-07-03,Whitefield Police Station,Extortion complaint regarding repeated threatening calls demanding payment.
FIR00161,CASE0209,2024-07-27,T Nagar Police Station,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.
FIR00162,CASE0200,2022-10-01,Koramangala Police Station,Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00163,CASE0198,2022-05-03,Koramangala Police Station,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.
FIR00164,CASE0044,2023-10-17,Secunderabad Police Station,Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00165,CASE0138,2025-12-14,Hazratganj Police Station,Assault complaint filed following dispute at commercial premises; medical report attached.
FIR00166,CASE0165,2024-05-09,Sector 17 Police Station,Narcotics-related intelligence forwarded for verification and coordinated follow-up.
FIR00167,CASE0234,2025-09-14,Whitefield Police Station,Missing person report filed after individual failed to return from scheduled business travel.
FIR00168,CASE0123,2022-06-05,Whitefield Police Station,Theft of commercial goods reported from warehouse during overnight hours; suspects unknown.
FIR00169,CASE0122,2022-02-13,Satellite Police Station,Extortion complaint regarding repeated threatening calls demanding payment.
FIR00170,CASE0212,2025-12-29,Sector 17 Police Station,Missing person report filed after individual failed to return from scheduled business travel.
FIR00171,CASE0117,2025-12-02,Andheri Police Station,Assault complaint filed following dispute at commercial premises; medical report attached.
FIR00172,CASE0119,2024-01-02,Colaba Police Station,Extortion complaint regarding repeated threatening calls demanding payment.
FIR00173,CASE0150,2025-01-04,Park Street Police Station,Missing person report filed after individual failed to return from scheduled business travel.
FIR00174,CASE0220,2024-08-24,Sector 17 Police Station,Extortion complaint regarding repeated threatening calls demanding payment.
FIR00175,CASE0135,2025-04-09,Koregaon Park Police Station,Theft of commercial goods reported from warehouse during overnight hours; suspects unknown.
FIR00176,CASE0235,2023-03-07,Hazratganj Police Station,Missing person report filed after individual failed to return from scheduled business travel.
FIR00177,CASE0116,2024-03-02,Koramangala Police Station,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.
FIR00178,CASE0143,2023-10-17,MG Road Police Station,Theft of commercial goods reported from warehouse during overnight hours; suspects unknown.
FIR00179,CASE0028,2024-05-16,MG Road Police Station,Cheating case registered involving forged property documents and misrepresentation.
FIR00180,CASE0062,2024-01-31,Whitefield Police Station,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.
FIR00181,CASE0048,2025-12-26,Koregaon Park Police Station,Assault complaint filed following dispute at commercial premises; medical report attached.
FIR00182,CASE0106,2025-09-25,Park Street Police Station,Theft of commercial goods reported from warehouse during overnight hours; suspects unknown.
FIR00183,CASE0034,2022-09-21,Gomti Nagar Police Station,Cheating case registered involving forged property documents and misrepresentation.
FIR00184,CASE0115,2023-04-11,Bandra Police Station,Assault complaint filed following dispute at commercial premises; medical report attached.
FIR00185,CASE0077,2022-08-16,Andheri Police Station,Money laundering indicators observed through layered transactions across multiple accounts.
FIR00186,CASE0083,2025-08-28,Whitefield Police Station,Extortion complaint regarding repeated threatening calls demanding payment.
FIR00187,CASE0038,2025-01-16,Sector 17 Police Station,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.
FIR00188,CASE0109,2025-10-12,Andheri Police Station,Money laundering indicators observed through layered transactions across multiple accounts.
FIR00189,CASE0145,2022-10-31,Satellite Police Station,Money laundering indicators observed through layered transactions across multiple accounts.
FIR00190,CASE0041,2024-10-22,Malviya Nagar Police Station,Cheating case registered involving forged property documents and misrepresentation.
FIR00191,CASE0168,2022-10-19,Malviya Nagar Police Station,Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00192,CASE0184,2022-12-03,Koregaon Park Police Station,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.
FIR00193,CASE0139,2025-02-07,MG Road Police Station,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.
FIR00194,CASE0067,2023-01-20,Koramangala Police Station,Narcotics-related intelligence forwarded for verification and coordinated follow-up.
FIR00195,CASE0088,2025-10-04,Hazratganj Police Station,Money laundering indicators observed through layered transactions across multiple accounts.
FIR00196,CASE0224,2024-06-29,Park Street Police Station,Missing person report filed after individual failed to return from scheduled business travel.
FIR00197,CASE0104,2022-12-18,Andheri Police Station,Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00198,CASE0068,2023-12-20,Whitefield Police Station,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.
FIR00199,CASE0227,2023-09-08,T Nagar Police Station,Money laundering indicators observed through layered transactions across multiple accounts.
FIR00200,CASE0185,2024-03-31,Koramangala Police Station,Theft of commercial goods reported from warehouse during overnight hours; suspects unknown.
FIR00201,CASE0075,2023-09-30,Malviya Nagar Police Station,Narcotics-related intelligence forwarded for verification and coordinated follow-up.
FIR00202,CASE0172,2025-05-23,Malviya Nagar Police Station,Missing person report filed after individual failed to return from scheduled business travel.
FIR00203,CASE0152,2023-02-25,T Nagar Police Station,Missing person report filed after individual failed to return from scheduled business travel.
FIR00204,CASE0169,2024-01-29,T Nagar Police Station,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.
FIR00205,CASE0164,2023-10-08,Park Street Police Station,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.
FIR00206,CASE0051,2024-04-11,Koramangala Police Station,Cheating case registered involving forged property documents and misrepresentation.
FIR00207,CASE0201,2023-01-20,Secunderabad Police Station,Missing person report filed after individual failed to return from scheduled business travel.
FIR00208,CASE0160,2022-01-13,T Nagar Police Station,Assault complaint filed following dispute at commercial premises; medical report attached.
FIR00209,CASE0037,2023-11-09,Koramangala Police Station,Theft of commercial goods reported from warehouse during overnight hours; suspects unknown.
FIR00210,CASE0147,2022-06-12,Malviya Nagar Police Station,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.
FIR00211,CASE0108,2023-11-18,Secunderabad Police Station,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.
FIR00212,CASE0239,2024-04-20,Koramangala Police Station,Assault complaint filed following dispute at commercial premises; medical report attached.
FIR00213,CASE0127,2024-11-09,MG Road Police Station,Missing person report filed after individual failed to return from scheduled business travel.
FIR00214,CASE0102,2024-04-08,Gomti Nagar Police Station,Missing person report filed after individual failed to return from scheduled business travel.
FIR00215,CASE0199,2025-08-10,Secunderabad Police Station,Missing person report filed after individual failed to return from scheduled business travel.
FIR00216,CASE0030,2025-10-20,Sector 17 Police Station,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.
FIR00217,CASE0151,2022-11-26,Koregaon Park Police Station,Cheating case registered involving forged property documents and misrepresentation.
FIR00218,CASE0095,2025-02-21,MG Road Police Station,Complainant reports unauthorized withdrawal from business account linked to suspected fraud network.
FIR00219,CASE0040,2024-03-14,Satellite Police Station,Narcotics-related intelligence forwarded for verification and coordinated follow-up.
FIR00220,CASE0171,2023-01-27,Sector 17 Police Station,Assault complaint filed following dispute at commercial premises; medical report attached.
FIR00221,CASE0219,2025-06-12,Hazratganj Police Station,Theft of commercial goods reported from warehouse during overnight hours; suspects unknown.
FIR00222,CASE0137,2022-05-11,MG Road Police Station,Theft of commercial goods reported from warehouse during overnight hours; suspects unknown.
FIR00223,CASE0238,2022-02-25,Park Street Police Station,Cheating case registered involving forged property documents and misrepresentation.
FIR00224,CASE0166,2024-05-31,Whitefield Police Station,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.
FIR00225,CASE0176,2025-09-24,Sector 17 Police Station,Vehicle theft reported from residential parking area; CCTV footage requested.
FIR00226,CASE0072,2025-09-07,Andheri Police Station,Missing person report filed after individual failed to return from scheduled business travel.
FIR00227,CASE0074,2023-01-15,Sector 17 Police Station,Extortion complaint regarding repeated threatening calls demanding payment.
FIR00228,CASE0094,2025-12-28,Whitefield Police Station,Cyber fraud complaint regarding impersonation and unauthorized fund transfer via mobile banking.
