surveillance_id,case_id,timestamp,location,report_text
SUR00012,CASE0001,2024-12-02 08:01:42,Kochi Park 117,Field unit observed individual recorded as 'Rohan Mirzza' meeting associates near Surat Hub 154. Possible link to ongoing case activity.
SUR00013,CASE0002,2023-08-07 03:09:31,Delhi Park 49,Field unit observed individual recorded as 'Ananya Mehat' meeting associates near Bhopal Hub 64. Possible link to ongoing case activity.
SUR00014,CASE0002,2024-04-18 07:57:48,Patna Market 70,Field unit observed individual recorded as 'Ananya Mehat' meeting associates near Hyderabad Park 7. Possible link to ongoing case activity.
SUR00015,CASE0002,2025-11-14 15:44:44,Lucknow Park 94,Field unit observed individual recorded as 'Ananya Mehat' meeting associates near Indore Tower 146. Possible link to ongoing case activity.
SUR00016,CASE0002,2024-01-13 13:53:46,Nagpur Junction 51,Field unit observed individual recorded as 'Manoj Khae' meeting associates near Chandigarh Market 54. Possible link to ongoing case activity.
SUR00017,CASE0002,2024-11-23 10:57:12,Chennai Tower 134,Field unit observed individual recorded as 'Manoj Khae' meeting associates near Pune Junction 125. Possible link to ongoing case activity.
SUR00018,CASE0002,2023-11-14 15:34:05,Pune Colony 59,Field unit observed individual recorded as 'Manoj Khae' meeting associates near Visakhapatnam Market 84. Possible link to ongoing case activity.
SUR00019,CASE0002,2025-05-03 13:22:32,Visakhapatnam Tower 42,Field unit observed individual recorded as 'Vikram Meonn' meeting associates near Chandigarh Tower 157. Possible link to ongoing case activity.
SUR00020,CASE0002,2025-09-04 03:07:26,Surat Market 150,Field unit observed individual recorded as 'Vikram Meonn' meeting associates near Indore Market 136. Possible link to ongoing case activity.
SUR00021,CASE0002,2025-07-24 15:09:07,Lucknow Colony 87,Field unit observed individual recorded as 'Vikram Meonn' meeting associates near Indore Tower 146. Possible link to ongoing case activity.
SUR00022,CASE0002,2025-03-14 20:37:38,Mumbai Hub 138,Field unit observed individual recorded as 'Priya Deasi' meeting associates near Patna Market 4. Possible link to ongoing case activity.
SUR00023,CASE0002,2024-05-17 11:45:40,Guwahati Park 158,Field unit observed individual recorded as 'Priya Deasi' meeting associates near Hyderabad Junction 86. Possible link to ongoing case activity.
SUR00024,CASE0002,2023-04-14 21:47:25,Ranchi Colony 90,Field unit observed individual recorded as 'Priya Deasi' meeting associates near Mumbai Junction 88. Possible link to ongoing case activity.
SUR00025,CASE0003,2025-12-18 04:29:29,Visakhapatnam Junction 110,Field unit observed individual recorded as 'Swati Asnari' meeting associates near Patna Market 67. Possible link to ongoing case activity.
SUR00026,CASE0003,2025-06-22 23:40:28,Visakhapatnam Colony 6,Field unit observed individual recorded as 'Swati Asnari' meeting associates near Indore Hub 63. Possible link to ongoing case activity.
SUR00027,CASE0003,2024-11-01 19:28:05,Visakhapatnam Market 84,Field unit observed individual recorded as 'Swati Asnari' meeting associates near Nagpur Junction 116. Possible link to ongoing case activity.
SUR00028,CASE0003,2025-03-30 17:46:10,Delhi Colony 133,Field unit observed individual recorded as 'Deepak Veram' meeting associates near Chennai Colony 153. Possible link to ongoing case activity.
SUR00029,CASE0003,2025-01-30 05:33:21,Visakhapatnam Hub 38,Field unit observed individual recorded as 'Deepak Veram' meeting associates near Guwahati Plaza 152. Possible link to ongoing case activity.
SUR00030,CASE0003,2025-10-07 13:54:58,Guwahati Plaza 57,Field unit observed individual recorded as 'Deepak Veram' meeting associates near Lucknow Park 19. Possible link to ongoing case activity.
SUR00031,CASE0003,2023-03-02 13:46:00,Hyderabad Plaza 22,Field unit observed individual recorded as 'Diya eRddy' meeting associates near Chennai Plaza 139. Possible link to ongoing case activity.
SUR00032,CASE0003,2024-06-25 15:12:56,Patna Hub 91,Field unit observed individual recorded as 'Diya eRddy' meeting associates near Patna Market 70. Possible link to ongoing case activity.
SUR00033,CASE0003,2023-01-18 12:34:06,Chennai Park 96,Field unit observed individual recorded as 'Diya eRddy' meeting associates near Pune Junction 125. Possible link to ongoing case activity.
SUR00034,CASE0003,2025-03-12 14:28:31,Pune Junction 125,Field unit observed individual recorded as 'Rahul Anssari' meeting associates near Visakhapatnam Colony 6. Possible link to ongoing case activity.
SUR00035,CASE0003,2023-12-09 13:52:01,Kolkata Hub 143,Field unit observed individual recorded as 'Rahul Anssari' meeting associates near Hyderabad Plaza 22. Possible link to ongoing case activity.
SUR00036,CASE0003,2025-12-16 01:13:30,Indore Tower 128,Field unit observed individual recorded as 'Rahul Anssari' meeting associates near Pune Junction 25. Possible link to ongoing case activity.
SUR00037,CASE0004,2025-06-22 07:10:31,Guwahati Plaza 152,Field unit observed individual recorded as 'Amit Ale' meeting associates near Indore Park 109. Possible link to ongoing case activity.
SUR00038,CASE0004,2024-08-07 19:01:52,Bhopal Junction 58,Field unit observed individual recorded as 'Amit Ale' meeting associates near Guwahati Plaza 152. Possible link to ongoing case activity.
SUR00039,CASE0004,2023-01-27 16:26:31,Kochi Park 115,Field unit observed individual recorded as 'Amit Ale' meeting associates near Pune Tower 71. Possible link to ongoing case activity.
SUR00040,CASE0004,2024-10-19 07:27:53,Lucknow Park 53,Field unit observed individual recorded as 'Ramesh Shara' meeting associates near Chandigarh Market 54. Possible link to ongoing case activity.
SUR00041,CASE0004,2025-02-18 11:56:31,Bhopal Plaza 160,Field unit observed individual recorded as 'Ramesh Shara' meeting associates near Hyderabad Plaza 22. Possible link to ongoing case activity.
SUR00042,CASE0004,2023-09-28 21:58:49,Visakhapatnam Hub 38,Field unit observed individual recorded as 'Ramesh Shara' meeting associates near Indore Market 136. Possible link to ongoing case activity.
SUR00043,CASE0004,2023-10-15 17:49:54,Guwahati Plaza 57,Field unit observed individual recorded as 'Reyansh hSeikh' meeting associates near Kochi Park 121. Possible link to ongoing case activity.
SUR00044,CASE0004,2023-03-27 15:18:48,Bengaluru Tower 105,Field unit observed individual recorded as 'Reyansh hSeikh' meeting associates near Visakhapatnam Colony 6. Possible link to ongoing case activity.
SUR00045,CASE0004,2025-08-27 13:17:27,Nagpur Junction 51,Field unit observed individual recorded as 'Reyansh hSeikh' meeting associates near Lucknow Park 19. Possible link to ongoing case activity.
SUR00046,CASE0004,2024-12-12 21:14:41,Indore Hub 63,Field unit observed individual recorded as 'Lakshmi PPillai' meeting associates near Bhopal Hub 64. Possible link to ongoing case activity.
SUR00047,CASE0004,2024-08-28 03:54:39,Lucknow Colony 29,Field unit observed individual recorded as 'Lakshmi PPillai' meeting associates near Mumbai Park 41. Possible link to ongoing case activity.
SUR00048,CASE0004,2023-12-30 20:39:34,Bhopal Junction 151,Field unit observed individual recorded as 'Lakshmi PPillai' meeting associates near Jaipur Colony 56. Possible link to ongoing case activity.
SUR00049,CASE0005,2023-01-17 17:43:58,Patna Hub 91,Field unit observed individual recorded as 'Ishaan Hussian' meeting associates near Hyderabad Park 81. Possible link to ongoing case activity.
SUR00050,CASE0005,2024-02-15 03:52:42,Kochi Tower 126,Field unit observed individual recorded as 'Ishaan Hussian' meeting associates near Visakhapatnam Tower 14. Possible link to ongoing case activity.
SUR00051,CASE0005,2023-03-28 10:01:49,Kochi Plaza 107,Field unit observed individual recorded as 'Ishaan Hussian' meeting associates near Kochi Tower 144. Possible link to ongoing case activity.
SUR00052,CASE0005,2023-01-08 00:47:38,Nagpur Junction 36,Field unit observed individual recorded as 'Fatima Kumae' meeting associates near Hyderabad Colony 145. Possible link to ongoing case activity.
SUR00053,CASE0005,2024-10-10 08:08:33,Visakhapatnam Junction 34,Field unit observed individual recorded as 'Fatima Kumae' meeting associates near Hyderabad Park 7. Possible link to ongoing case activity.
SUR00054,CASE0005,2024-06-20 10:23:34,Bengaluru Tower 105,Field unit observed individual recorded as 'Fatima Kumae' meeting associates near Bhopal Hub 64. Possible link to ongoing case activity.
SUR00055,CASE0005,2024-02-07 08:43:40,Patna Tower 13,Field unit observed individual recorded as 'Naveen Meta' meeting associates near Lucknow Colony 149. Possible link to ongoing case activity.
SUR00056,CASE0005,2024-12-03 20:49:19,Bengaluru Tower 105,Field unit observed individual recorded as 'Naveen Meta' meeting associates near Visakhapatnam Hub 38. Possible link to ongoing case activity.
SUR00057,CASE0005,2025-04-24 13:33:48,Visakhapatnam Tower 42,Field unit observed individual recorded as 'Naveen Meta' meeting associates near Jaipur Colony 114. Possible link to ongoing case activity.
SUR00058,CASE0005,2025-05-16 11:07:22,Delhi Market 141,Field unit observed individual recorded as 'Rohan Rdedy' meeting associates near Delhi Junction 46. Possible link to ongoing case activity.
SUR00059,CASE0005,2024-09-29 04:00:35,Indore Hub 63,Field unit observed individual recorded as 'Rohan Rdedy' meeting associates near Nagpur Market 32. Possible link to ongoing case activity.
SUR00060,CASE0005,2023-01-31 11:50:43,Indore Tower 146,Field unit observed individual recorded as 'Rohan Rdedy' meeting associates near Nagpur Tower 104. Possible link to ongoing case activity.
SUR00061,CASE0006,2025-12-06 08:53:11,Lucknow Park 19,Field unit observed individual recorded as 'Nisha Kumai' meeting associates near Surat Hub 154. Possible link to ongoing case activity.
SUR00062,CASE0006,2023-11-09 00:01:01,Delhi Hub 82,Field unit observed individual recorded as 'Nisha Kumai' meeting associates near Jaipur Market 31. Possible link to ongoing case activity.
SUR00063,CASE0006,2024-12-21 11:23:17,Delhi Junction 8,Field unit observed individual recorded as 'Nisha Kumai' meeting associates near Lucknow Plaza 142. Possible link to ongoing case activity.
SUR00064,CASE0006,2024-10-08 17:12:07,Hyderabad Park 81,Field unit observed individual recorded as 'Imran Ansari' meeting associates near Visakhapatnam Tower 14. Possible link to ongoing case activity.
SUR00065,CASE0006,2025-03-31 16:07:59,Lucknow Colony 29,Field unit observed individual recorded as 'Imran Ansari' meeting associates near Visakhapatnam Plaza 120. Possible link to ongoing case activity.
SUR00066,CASE0006,2023-03-18 21:57:57,Lucknow Park 53,Field unit observed individual recorded as 'Imran Ansari' meeting associates near Bhopal Hub 113. Possible link to ongoing case activity.
SUR00067,CASE0006,2023-12-04 00:23:08,Visakhapatnam Market 84,Field unit observed individual recorded as 'Rahul Iyei' meeting associates near Visakhapatnam Tower 42. Possible link to ongoing case activity.
SUR00068,CASE0006,2024-03-23 04:08:26,Surat Plaza 40,Field unit observed individual recorded as 'Rahul Iyei' meeting associates near Lucknow Plaza 142. Possible link to ongoing case activity.
SUR00069,CASE0006,2023-06-09 19:51:25,Visakhapatnam Junction 110,Field unit observed individual recorded as 'Rahul Iyei' meeting associates near Lucknow Colony 149. Possible link to ongoing case activity.
SUR00070,CASE0006,2024-01-09 07:47:56,Ranchi Junction 140,Field unit observed individual recorded as 'Ramesh Khaan' meeting associates near Patna Market 67. Possible link to ongoing case activity.
SUR00071,CASE0006,2024-05-03 19:09:43,Mumbai Junction 88,Field unit observed individual recorded as 'Ramesh Khaan' meeting associates near Patna Colony 77. Possible link to ongoing case activity.
SUR00072,CASE0006,2023-09-10 00:48:51,Kolkata Plaza 119,Field unit observed individual recorded as 'Ramesh Khaan' meeting associates near Ahmedabad Plaza 35. Possible link to ongoing case activity.
SUR00073,CASE0007,2023-06-17 04:19:08,Hyderabad Park 7,Field unit observed individual recorded as 'Neha Banerjei' meeting associates near Visakhapatnam Junction 110. Possible link to ongoing case activity.
SUR00074,CASE0007,2024-04-05 05:59:49,Hyderabad Market 131,Field unit observed individual recorded as 'Neha Banerjei' meeting associates near Visakhapatnam Tower 14. Possible link to ongoing case activity.
SUR00075,CASE0007,2023-08-13 22:56:24,Visakhapatnam Market 50,Field unit observed individual recorded as 'Neha Banerjei' meeting associates near Visakhapatnam Hub 38. Possible link to ongoing case activity.
SUR00076,CASE0007,2024-09-08 13:41:37,Hyderabad Colony 145,Field unit observed individual recorded as 'Suresh Mirzaa' meeting associates near Bhopal Plaza 160. Possible link to ongoing case activity.
SUR00077,CASE0007,2025-09-01 04:25:16,Hyderabad Market 131,Field unit observed individual recorded as 'Suresh Mirzaa' meeting associates near Chennai Hub 5. Possible link to ongoing case activity.
SUR00078,CASE0007,2023-04-07 06:01:44,Chennai Plaza 139,Field unit observed individual recorded as 'Suresh Mirzaa' meeting associates near Mumbai Hub 138. Possible link to ongoing case activity.
SUR00079,CASE0007,2025-03-26 16:54:55,Patna Colony 77,Field unit observed individual recorded as 'Vikram Pillai' meeting associates near Chennai Plaza 139. Possible link to ongoing case activity.
SUR00080,CASE0007,2025-09-14 12:43:30,Surat Park 155,Field unit observed individual recorded as 'Vikram Pillai' meeting associates near Nagpur Colony 80. Possible link to ongoing case activity.
SUR00081,CASE0007,2024-08-24 19:17:11,Hyderabad Tower 85,Field unit observed individual recorded as 'Vikram Pillai' meeting associates near Bhopal Park 68. Possible link to ongoing case activity.
SUR00082,CASE0007,2023-10-08 01:47:07,Pune Tower 71,Field unit observed individual recorded as 'Diya eDsai' meeting associates near Kolkata Junction 45. Possible link to ongoing case activity.
SUR00083,CASE0007,2023-08-13 09:45:00,Surat Hub 154,Field unit observed individual recorded as 'Diya eDsai' meeting associates near Nagpur Plaza 106. Possible link to ongoing case activity.
SUR00084,CASE0007,2023-04-02 20:21:01,Indore Park 109,Field unit observed individual recorded as 'Diya eDsai' meeting associates near Guwahati Junction 159. Possible link to ongoing case activity.
SUR00085,CASE0008,2023-10-13 10:32:28,Visakhapatnam Market 84,Field unit observed individual recorded as 'Rizwan Mizra' meeting associates near Delhi Junction 147. Possible link to ongoing case activity.
SUR00086,CASE0008,2025-06-22 15:13:02,Visakhapatnam Colony 6,Field unit observed individual recorded as 'Rizwan Mizra' meeting associates near Patna Market 67. Possible link to ongoing case activity.
SUR00087,CASE0008,2025-11-23 10:55:47,Indore Hub 2,Field unit observed individual recorded as 'Rizwan Mizra' meeting associates near Kolkata Park 18. Possible link to ongoing case activity.
SUR00088,CASE0008,2024-04-30 20:03:33,Kochi Tower 144,Field unit observed individual recorded as 'Sana Josi' meeting associates near Kochi Colony 148. Possible link to ongoing case activity.
SUR00089,CASE0008,2025-03-02 16:50:52,Visakhapatnam Junction 21,Field unit observed individual recorded as 'Sana Josi' meeting associates near Hyderabad Market 131. Possible link to ongoing case activity.
SUR00090,CASE0008,2024-03-27 23:59:03,Guwahati Park 61,Field unit observed individual recorded as 'Sana Josi' meeting associates near Chennai Colony 48. Possible link to ongoing case activity.
SUR00091,CASE0008,2024-07-16 10:34:29,Indore Tower 128,Field unit observed individual recorded as 'Suresh Verrma' meeting associates near Nagpur Colony 80. Possible link to ongoing case activity.
SUR00092,CASE0008,2023-12-30 16:49:28,Nagpur Colony 80,Field unit observed individual recorded as 'Suresh Verrma' meeting associates near Delhi Park 47. Possible link to ongoing case activity.
SUR00093,CASE0008,2024-05-04 06:02:15,Guwahati Plaza 152,Field unit observed individual recorded as 'Suresh Verrma' meeting associates near Patna Hub 91. Possible link to ongoing case activity.
SUR00094,CASE0008,2023-08-31 07:28:21,Kolkata Hub 143,Field unit observed individual recorded as 'Sana Rdedy' meeting associates near Nagpur Tower 104. Possible link to ongoing case activity.
SUR00095,CASE0008,2025-06-24 05:04:13,Hyderabad Junction 86,Field unit observed individual recorded as 'Sana Rdedy' meeting associates near Nagpur Junction 37. Possible link to ongoing case activity.
SUR00096,CASE0008,2025-06-26 15:16:28,Guwahati Plaza 57,Field unit observed individual recorded as 'Sana Rdedy' meeting associates near Guwahati Hub 129. Possible link to ongoing case activity.
SUR00097,CASE0009,2024-08-01 15:10:01,Lucknow Park 19,Field unit observed individual recorded as 'Diya Kapooa' meeting associates near Hyderabad Junction 86. Possible link to ongoing case activity.
SUR00098,CASE0009,2025-10-25 16:20:49,Nagpur Hub 103,Field unit observed individual recorded as 'Diya Kapooa' meeting associates near Bhopal Plaza 160. Possible link to ongoing case activity.
SUR00099,CASE0009,2025-03-18 23:34:35,Bhopal Junction 58,Field unit observed individual recorded as 'Diya Kapooa' meeting associates near Mumbai Park 41. Possible link to ongoing case activity.
SUR00100,CASE0009,2025-06-17 11:26:06,Lucknow Park 19,Field unit observed individual recorded as 'Ashok Mukhejee' meeting associates near Delhi Market 141. Possible link to ongoing case activity.
SUR00101,CASE0009,2023-04-15 00:22:39,Visakhapatnam Tower 42,Field unit observed individual recorded as 'Ashok Mukhejee' meeting associates near Nagpur Tower 130. Possible link to ongoing case activity.
SUR00102,CASE0009,2025-09-03 01:01:20,Indore Hub 2,Field unit observed individual recorded as 'Ashok Mukhejee' meeting associates near Surat Plaza 156. Possible link to ongoing case activity.
SUR00103,CASE0009,2024-12-28 13:37:48,Kochi Park 121,Field unit observed individual recorded as 'Neha Ali' meeting associates near Delhi Junction 8. Possible link to ongoing case activity.
SUR00104,CASE0009,2023-05-05 11:11:37,Kochi Colony 148,Field unit observed individual recorded as 'Neha Ali' meeting associates near Indore Market 135. Possible link to ongoing case activity.
SUR00105,CASE0009,2023-10-18 08:52:08,Pune Junction 125,Field unit observed individual recorded as 'Neha Ali' meeting associates near Kolkata Plaza 119. Possible link to ongoing case activity.
SUR00106,CASE0009,2025-07-06 15:46:34,Lucknow Colony 87,Field unit observed individual recorded as 'Riya Mukherjee' meeting associates near Nagpur Tower 104. Possible link to ongoing case activity.
SUR00107,CASE0009,2025-02-10 00:44:50,Delhi Colony 133,Field unit observed individual recorded as 'Riya Mukherjee' meeting associates near Hyderabad Tower 85. Possible link to ongoing case activity.
SUR00108,CASE0009,2025-09-11 07:37:37,Kochi Tower 144,Field unit observed individual recorded as 'Riya Mukherjee' meeting associates near Bhopal Hub 113. Possible link to ongoing case activity.
SUR00109,CASE0010,2023-04-01 12:31:56,Nagpur Tower 130,Field unit observed individual recorded as 'Deepak Day' meeting associates near Bhopal Hub 64. Possible link to ongoing case activity.
SUR00110,CASE0010,2023-02-11 23:39:54,Bhopal Hub 113,Field unit observed individual recorded as 'Deepak Day' meeting associates near Bhopal Hub 64. Possible link to ongoing case activity.
SUR00111,CASE0010,2024-05-27 08:31:52,Visakhapatnam Colony 72,Field unit observed individual recorded as 'Deepak Day' meeting associates near Surat Tower 108. Possible link to ongoing case activity.
SUR00112,CASE0010,2025-01-27 18:50:12,Lucknow Colony 149,Field unit observed individual recorded as 'Pallavi aNir' meeting associates near Nagpur Hub 118. Possible link to ongoing case activity.
SUR00113,CASE0010,2024-01-30 23:07:21,Hyderabad Hub 16,Field unit observed individual recorded as 'Pallavi aNir' meeting associates near Kochi Park 121. Possible link to ongoing case activity.
SUR00114,CASE0010,2024-11-09 22:35:08,Delhi Colony 133,Field unit observed individual recorded as 'Pallavi aNir' meeting associates near Ranchi Colony 90. Possible link to ongoing case activity.
SUR00115,CASE0010,2024-02-06 05:16:05,Chennai Colony 153,Field unit observed individual recorded as 'Manoj Hussaia' meeting associates near Indore Tower 39. Possible link to ongoing case activity.
SUR00116,CASE0010,2024-05-01 08:17:20,Lucknow Colony 87,Field unit observed individual recorded as 'Manoj Hussaia' meeting associates near Kochi Colony 148. Possible link to ongoing case activity.
SUR00117,CASE0010,2023-12-25 13:50:40,Bhopal Hub 64,Field unit observed individual recorded as 'Manoj Hussaia' meeting associates near Pune Market 65. Possible link to ongoing case activity.
SUR00118,CASE0010,2024-04-23 22:53:54,Bengaluru Tower 105,Field unit observed individual recorded as 'Prakash Naia' meeting associates near Ranchi Junction 140. Possible link to ongoing case activity.
SUR00119,CASE0010,2023-04-04 17:16:24,Indore Hub 2,Field unit observed individual recorded as 'Prakash Naia' meeting associates near Ahmedabad Plaza 33. Possible link to ongoing case activity.
SUR00120,CASE0010,2023-10-03 03:08:14,Patna Market 4,Field unit observed individual recorded as 'Prakash Naia' meeting associates near Chandigarh Tower 157. Possible link to ongoing case activity.
SUR00121,CASE0011,2023-10-04 02:31:32,Visakhapatnam Hub 38,Field unit observed individual recorded as 'Farhan Shikh' meeting associates near Chennai Colony 48. Possible link to ongoing case activity.
SUR00122,CASE0011,2024-01-12 16:31:54,Ahmedabad Plaza 35,Field unit observed individual recorded as 'Farhan Shikh' meeting associates near Nagpur Hub 103. Possible link to ongoing case activity.
SUR00123,CASE0011,2023-02-27 10:14:43,Chennai Tower 24,Field unit observed individual recorded as 'Farhan Shikh' meeting associates near Kochi Park 117. Possible link to ongoing case activity.
SUR00124,CASE0011,2023-08-12 13:31:51,Indore Junction 101,Field unit observed individual recorded as 'Vikram Ala' meeting associates near Bhopal Plaza 160. Possible link to ongoing case activity.
SUR00125,CASE0011,2025-04-04 15:31:03,Chennai Tower 134,Field unit observed individual recorded as 'Vikram Ala' meeting associates near Lucknow Park 53. Possible link to ongoing case activity.
SUR00126,CASE0011,2023-09-17 13:36:09,Hyderabad Hub 16,Field unit observed individual recorded as 'Vikram Ala' meeting associates near Guwahati Park 158. Possible link to ongoing case activity.
SUR00127,CASE0011,2024-02-28 09:57:52,Indore Tower 39,Field unit observed individual recorded as 'Arjun Cohpra' meeting associates near Chandigarh Market 54. Possible link to ongoing case activity.
SUR00128,CASE0011,2024-04-27 22:05:36,Lucknow Plaza 142,Field unit observed individual recorded as 'Arjun Cohpra' meeting associates near Delhi Park 49. Possible link to ongoing case activity.
SUR00129,CASE0011,2025-10-13 02:20:56,Guwahati Junction 159,Field unit observed individual recorded as 'Arjun Cohpra' meeting associates near Hyderabad Tower 10. Possible link to ongoing case activity.
SUR00130,CASE0011,2025-12-29 02:34:07,Delhi Colony 133,Field unit observed individual recorded as 'Ayesha Reddi' meeting associates near Patna Market 70. Possible link to ongoing case activity.
SUR00131,CASE0011,2024-05-30 10:54:58,Nagpur Tower 104,Field unit observed individual recorded as 'Ayesha Reddi' meeting associates near Visakhapatnam Tower 124. Possible link to ongoing case activity.
SUR00132,CASE0011,2023-08-12 04:25:46,Bhopal Hub 113,Field unit observed individual recorded as 'Ayesha Reddi' meeting associates near Hyderabad Market 131. Possible link to ongoing case activity.
SUR00133,CASE0012,2023-07-30 01:18:21,Surat Plaza 156,Field unit observed individual recorded as 'Ishaan Reeddy' meeting associates near Pune Colony 59. Possible link to ongoing case activity.
SUR00134,CASE0012,2025-05-18 01:25:14,Hyderabad Plaza 102,Field unit observed individual recorded as 'Ishaan Reeddy' meeting associates near Bengaluru Market 43. Possible link to ongoing case activity.
SUR00135,CASE0012,2025-06-11 07:37:31,Visakhapatnam Junction 21,Field unit observed individual recorded as 'Ishaan Reeddy' meeting associates near Mumbai Hub 138. Possible link to ongoing case activity.
SUR00136,CASE0012,2025-10-20 02:11:27,Visakhapatnam Plaza 120,Field unit observed individual recorded as 'Vivaan Banerjee' meeting associates near Mumbai Junction 88. Possible link to ongoing case activity.
SUR00137,CASE0012,2025-07-30 21:30:26,Bhopal Hub 64,Field unit observed individual recorded as 'Vivaan Banerjee' meeting associates near Kochi Park 117. Possible link to ongoing case activity.
SUR00138,CASE0012,2025-09-13 00:52:58,Visakhapatnam Junction 34,Field unit observed individual recorded as 'Vivaan Banerjee' meeting associates near Visakhapatnam Hub 123. Possible link to ongoing case activity.
SUR00139,CASE0012,2023-12-03 13:38:08,Surat Hub 20,Field unit observed individual recorded as 'Lakshmi KKapoor' meeting associates near Visakhapatnam Market 84. Possible link to ongoing case activity.
SUR00140,CASE0012,2025-03-19 00:11:46,Ahmedabad Tower 98,Field unit observed individual recorded as 'Lakshmi KKapoor' meeting associates near Nagpur Junction 37. Possible link to ongoing case activity.
SUR00141,CASE0012,2023-02-06 02:12:56,Kochi Park 121,Field unit observed individual recorded as 'Lakshmi KKapoor' meeting associates near Lucknow Park 19. Possible link to ongoing case activity.
SUR00142,CASE0012,2025-01-09 09:47:12,Visakhapatnam Plaza 120,Field unit observed individual recorded as 'Riya Khaa' meeting associates near Lucknow Plaza 142. Possible link to ongoing case activity.
SUR00143,CASE0012,2024-06-06 00:54:44,Patna Colony 77,Field unit observed individual recorded as 'Riya Khaa' meeting associates near Visakhapatnam Tower 14. Possible link to ongoing case activity.
SUR00144,CASE0012,2024-11-20 16:38:10,Surat Market 150,Field unit observed individual recorded as 'Riya Khaa' meeting associates near Patna Market 67. Possible link to ongoing case activity.
SUR00145,CASE0013,2025-03-21 22:07:24,Surat Hub 20,Field unit observed individual recorded as 'Rizwan Malotra' meeting associates near Kolkata Colony 127. Possible link to ongoing case activity.
SUR00146,CASE0013,2025-09-15 18:13:17,Chennai Colony 48,Field unit observed individual recorded as 'Rizwan Malotra' meeting associates near Chandigarh Tower 157. Possible link to ongoing case activity.
SUR00147,CASE0013,2025-02-04 10:48:27,Mumbai Plaza 27,Field unit observed individual recorded as 'Rizwan Malotra' meeting associates near Jaipur Colony 56. Possible link to ongoing case activity.
SUR00148,CASE0013,2025-11-23 07:26:22,Visakhapatnam Market 84,Field unit observed individual recorded as 'Sanjay aNir' meeting associates near Ranchi Market 132. Possible link to ongoing case activity.
SUR00149,CASE0013,2023-09-19 19:11:32,Visakhapatnam Market 84,Field unit observed individual recorded as 'Sanjay aNir' meeting associates near Patna Tower 13. Possible link to ongoing case activity.
SUR00150,CASE0013,2025-04-16 23:05:46,Kolkata Tower 75,Field unit observed individual recorded as 'Sanjay aNir' meeting associates near Mumbai Hub 55. Possible link to ongoing case activity.
SUR00151,CASE0013,2023-05-26 08:29:59,Jaipur Market 31,Field unit observed individual recorded as 'Prakash Miirza' meeting associates near Mumbai Park 41. Possible link to ongoing case activity.
SUR00152,CASE0013,2023-05-28 04:05:58,Ranchi Junction 140,Field unit observed individual recorded as 'Prakash Miirza' meeting associates near Delhi Park 47. Possible link to ongoing case activity.
SUR00153,CASE0013,2025-04-15 12:05:39,Indore Market 135,Field unit observed individual recorded as 'Prakash Miirza' meeting associates near Chandigarh Junction 44. Possible link to ongoing case activity.
SUR00154,CASE0013,2024-06-27 07:30:01,Nagpur Colony 80,Field unit observed individual recorded as 'Salman Ieyr' meeting associates near Visakhapatnam Plaza 120. Possible link to ongoing case activity.
SUR00155,CASE0013,2023-03-10 01:44:03,Delhi Hub 82,Field unit observed individual recorded as 'Salman Ieyr' meeting associates near Lucknow Colony 73. Possible link to ongoing case activity.
